id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
194987,GEO-1991-1-239-154,1991,True,Clear,1,380,380,Georgia: Government,812,812,Government of Georgia - National Guard and Mkhedrioni,63,63,Government of Georgia,332,332,National Guard and Mkhedrioni,-1,"Reuters 911228 GEORGIAN REBELS, LOYALISTS AGREE TRUCE AFTerFIGHTING KILLS 50.",-,-,-,Health ministry officials,1,Tbilisi town,Tblisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,2,3,12/22/1991 00:00:00,12/28/1991 00:00:00,0,0,0,31,31,50,31,372.0,-,41
194988,GEO-1991-1-239-155,1991,True,Clear,1,380,380,Georgia: Government,812,812,Government of Georgia - National Guard and Mkhedrioni,63,63,Government of Georgia,332,332,National Guard and Mkhedrioni,-1,"BBC 1992-01-01 ""Civil war"" under way in Tbilisi.",-,-,-,ofrficial information,1,Tbilisi town,Tblisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,1,1,12/30/1991 00:00:00,12/30/1991 00:00:00,0,0,0,0,0,58,0,372.0,-,41
194989,GEO-1991-1-239-156,1991,True,Clear,1,380,380,Georgia: Government,812,812,Government of Georgia - National Guard and Mkhedrioni,63,63,Government of Georgia,332,332,National Guard and Mkhedrioni,-1,"Reuters 1991-12-31 GEORGIAN REBELS REARM, PREDICT NEW YEarVICTORY.",-,-,-,Mkhedrioni leader Yaba Ioseliani,1,Tbilisi town,Tblisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,1,1,12/30/1991 00:00:00,12/30/1991 00:00:00,0,1,0,0,1,1,1,372.0,-,41
194990,GEO-1992-1-289-174,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,Reuters 1992-06-24 GEORGIAN LOYALISTS CRUSH BRIEF INSURGENCY.,-,-,-,spokesman for ruling State Council,1,Tbilisi town,Tblisi,Tbilisi region,-,41.716667,44.783333,POINT (44.783333 41.716667),189810,Georgia,372,Europe,1,1,06/23/1992 00:00:00,06/23/1992 00:00:00,0,0,0,5,5,5,5,372.0,-,41
194991,GEO-1992-1-289-175,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,Reuters 1992-07-09 GAMSAKHURDIA BACKERS KIDNAP GEORGIAN DEPUTY PREMIER.,-,-,-,spokesman for ruling State Council,1,Kanti village,"village of Kanti,",Samegrelo-Zemo Svaneti rerion,Tsalenjikha district,42.649961,42.159848,POINT (42.159848 42.649961),191245,Georgia,372,Europe,1,1,07/09/1992 00:00:00,07/09/1992 00:00:00,0,0,1,0,1,1,1,372.0,-,41
194992,GEO-1992-1-289-176,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,BBC 1992-07-10 Government forces enter Zugdidi.,-,-,-,"Shevardnaze, chairman State Council",1,Zugdidi village,"town of Zugdidi, western Georgia",Samegrelo-Zemo Svaneti rerion,Zugudidi district,42.509139,41.866992,POINT (41.866992 42.509139),191244,Georgia,372,Europe,1,1,07/07/1992 00:00:00,07/07/1992 00:00:00,2,0,0,0,2,2,2,372.0,-,41
194993,GEO-1992-1-289-177,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,1,"""BBC Monitoring Service: Former USSR,1992-07-10,Government forces enter Zugdidi.""",BBC Monitoring Service: Former USSR,1992-07-10,Government forces enter Zugdidi.,"Shevardnaze, chairman State Council",3,Zugudidi district,"town of Tsalendzhiha,",Samegrelo-Zemo Svaneti rerion,Zugudidi district,42.5,41.85,POINT (41.85 42.5),191244,Georgia,372,Europe,1,1,07/06/1992 00:00:00,07/06/1992 00:00:00,0,0,0,12,12,12,12,372.0,-,41
194994,GEO-1992-1-297-182,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-05-12 FOurKILLED IN BREAKAWAY GEORGIAN REGION.,-,-,-,Russian reports,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,05/12/1992 00:00:00,05/12/1992 00:00:00,0,0,0,4,4,4,4,372.0,-,41
194995,GEO-1992-1-297-183,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-05-13 SHEVARDNADZE FLIES TO EMBATTLED BREAKAWAY CITY.,-,-,-,Tbilisi's interior ministry,1,Prisi village,"Prisi, Georgian village at border to S Ossetia",South Ossetia,-,42.233889,43.990833,POINT (43.990833 42.233889),190528,Georgia,372,Europe,1,1,05/12/1992 00:00:00,05/12/1992 00:00:00,7,0,0,0,7,7,7,372.0,-,41
194996,GEO-1992-1-297-187,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-09 YELTSIN APPEALS ForPEACE IN SOUTH OSSETIA.,-,-,-,local officials,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/09/1992 00:00:00,06/09/1992 00:00:00,0,0,0,18,18,18,18,372.0,-,41
194997,GEO-1992-1-297-192,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-24,-,-,-,South Ossetian officials,4,South Ossetia,-,South Ossetia,-,42.333333,44.0,POINT (44 42.333333),190529,Georgia,372,Europe,1,1,06/24/1992 00:00:00,06/24/1992 00:00:00,0,0,0,6,6,6,6,372.0,-,41
194998,GEO-1992-1-297-184,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-05-13 SHEVARDNADZE FLIES TO EMBATTLED BREAKAWAY CITY.,-,-,-,interfax,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,05/13/1992 00:00:00,05/13/1992 00:00:00,0,0,0,7,7,7,7,372.0,-,41
194999,GEO-1992-1-297-185,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,"BBC 1992-06-06 Situation in South Osetia ""reaches peak of tension"".",-,-,-,Georgian Interior Ministry press centre,4,South Ossetia,village of Megbrekisi,South Ossetia,-,42.333333,44.0,POINT (44 42.333333),190529,Georgia,372,Europe,1,1,06/05/1992 00:00:00,06/05/1992 00:00:00,0,0,0,2,2,2,2,372.0,-,41
195000,GEO-1992-1-297-186,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-08,-,-,-,Itar.tass + Ossetian sources,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/08/1992 00:00:00,06/08/1992 00:00:00,0,0,0,10,10,10,10,372.0,-,41
195001,GEO-1992-1-297-188,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,BBC 1992-06-15 Fighting in South Osetia.,-,-,-,itar-tass news agency,4,South Ossetia,-,South Ossetia,-,42.333333,44.0,POINT (44 42.333333),190529,Georgia,372,Europe,1,1,06/13/1992 00:00:00,06/13/1992 00:00:00,0,0,13,0,13,13,13,372.0,-,41
195002,GEO-1992-1-297-189,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,BBC 1992-06-18,-,-,-,Russian TV,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/16/1992 00:00:00,06/16/1992 00:00:00,0,0,0,10,10,10,10,372.0,-,41
